5;1;;;;;;;;;;;;;;;;
GDAS;;7;;5;;1;;0;;0;;;;;;;
GDAS;;7;;5;;8;;0;;0;;;;;;;
GDAS;;7;;5;;15;;0;;0;;;;;;;
GDAS;;7;;5;;22;;0;;0;;;;;;;
GDAS;;7;;5;;29;;0;;0;;;;;;;
3 BACK;W;ARD;OM;EGA;;;;;;;;;;;;;
3;1;;7;;5;;7;;7;;0;1;-29;17,215;-58,188;3410,9;676,1
1;1;;7;;5;;7;;6;;0;0;-30;16,412;-56,924;2787,2;729,6
2;1;;7;;5;;7;;6;;0;0;-30;16,886;-57,366;3089,9;703,3
3;1;;7;;5;;7;;6;;0;0;-30;17,209;-58,164;3426,7;674,7
1;1;;7;;5;;7;;5;;0;1;-31;16,383;-56,849;2799,4;727,8
2;1;;7;;5;;7;;5;;0;1;-31;16,859;-57,301;3104,2;701,2
3;1;;7;;5;;7;;5;;0;1;-31;17,213;-58,15;3435,9;673,4
1;1;;7;;5;;7;;4;;0;2;-32;16,364;-56,788;2779,2;729,9
2;1;;7;;5;;7;;4;;0;2;-32;16,847;-57,253;3085,8;703,1
3;1;;7;;5;;7;;4;;0;2;-32;17,229;-58,147;3426,3;674,5
1;1;;7;;5;;7;;3;;0;3;-33;16,351;-56,74;2727,1;734,9
2;1;;7;;5;;7;;3;;0;3;-33;16,847;-57,22;3033,9;707,9
3;1;;7;;5;;7;;3;;0;3;-33;17,254;-58,156;3398,1;677,3
1;1;;7;;5;;7;;2;;0;2;-34;16,34;-56,703;2669,3;742
2;1;;7;;5;;7;;2;;0;2;-34;16,849;-57,197;2977,1;715
3;1;;7;;5;;7;;2;;0;2;-34;17,284;-58,174;3368,7;681
1;1;;7;;5;;7;;1;;0;1;-35;16,33;-56,673;2630,3;745,1
2;1;;7;;5;;7;;1;;0;1;-35;16,852;-57,182;2943,1;717,7
3;1;;7;;5;;7;;1;;0;1;-35;17,319;-58,197;3354,7;681,9
1;1;;7;;5;;7;;0;;0;0;-36;16,321;-56,65;2609,4;746,6
2;1;;7;;5;;7;;0;;0;0;-36;16,855;-57,177;2932;718,4
3;1;;7;;5;;7;;0;;0;0;-36;17,358;-58,226;3355,5;681,7
1;1;;7;;5;;6;;23;;0;1;-37;16,305;-56,632;2608,9;746,7
2;1;;7;;5;;6;;23;;0;1;-37;16,85;-57,175;2944;717,3
3;1;;7;;5;;6;;23;;0;1;-37;17,403;-58,257;3372,4;680,5
1;1;;7;;5;;6;;22;;0;2;-38;16,269;-56,616;2631,6;744,7
2;1;;7;;5;;6;;22;;0;2;-38;16,829;-57,168;2979,8;714,2
3;1;;7;;5;;6;;22;;0;2;-38;17,453;-58,286;3407,2;677,6
1;1;;7;;5;;6;;21;;0;3;-39;16,217;-56,605;2678,7;740,5
2;1;;7;;5;;6;;21;;0;3;-39;16,793;-57,159;3040,2;709
3;1;;7;;5;;6;;21;;0;3;-39;17,512;-58,315;3458,3;673,4
1;1;;7;;5;;6;;20;;0;2;-40;16,152;-56,594;2727,4;734,2
2;1;;7;;5;;6;;20;;0;2;-40;16,745;-57,143;3106,4;701,8
3;1;;7;;5;;6;;20;;0;2;-40;17,58;-58,347;3513,2;668,1
1;1;;7;;5;;6;;19;;0;1;-41;16,076;-56,575;2750,9;732
2;1;;7;;5;;6;;19;;0;1;-41;16,684;-57,111;3156,9;697,5
3;1;;7;;5;;6;;19;;0;1;-41;17,649;-58,378;3560,2;664,4
1;1;;7;;5;;6;;18;;0;0;-42;15,988;-56,549;2745,8;732,4
2;1;;7;;5;;6;;18;;0;0;-42;16,608;-57,064;3188;694,8
3;1;;7;;5;;6;;18;;0;0;-42;17,718;-58,412;3599,5;661,4
1;1;;7;;5;;6;;17;;0;1;-43;15,895;-56,509;2728,6;735,9
2;1;;7;;5;;6;;17;;0;1;-43;16,526;-56,997;3205,2;694,3
3;1;;7;;5;;6;;17;;0;1;-43;17,785;-58,441;3629,2;659,2
1;1;;7;;5;;6;;16;;0;2;-44;15,804;-56,451;2718,4;737,3
2;1;;7;;5;;6;;16;;0;2;-44;16,451;-56,907;3218,1;693,7
3;1;;7;;5;;6;;16;;0;2;-44;17,847;-58,456;3647,4;658
1;1;;7;;5;;6;;15;;0;3;-45;15,713;-56,376;2716,3;737,9
2;1;;7;;5;;6;;15;;0;3;-45;16,382;-56,793;3229,8;693
3;1;;7;;5;;6;;15;;0;3;-45;17,9;-58,454;3654,4;657,8
1;1;;7;;5;;6;;14;;0;2;-46;15,626;-56,29;2715,8;737,1
2;1;;7;;5;;6;;14;;0;2;-46;16,327;-56,665;3237,6;691,8
3;1;;7;;5;;6;;14;;0;2;-46;17,95;-58,445;3654,2;658
1;1;;7;;5;;6;;13;;0;1;-47;15,548;-56,202;2709,9;737,5
2;1;;7;;5;;6;;13;;0;1;-47;16,293;-56,531;3238,1;691,6
3;1;;7;;5;;6;;13;;0;1;-47;18,002;-58,441;3650,8;658,2
1;1;;7;;5;;6;;12;;0;0;-48;15,478;-56,109;2698,4;738,3
2;1;;7;;5;;6;;12;;0;0;-48;16,275;-56,388;3232,3;691,9
3;1;;7;;5;;6;;12;;0;0;-48;18,057;-58,442;3644,2;658,6
1;1;;7;;5;;6;;11;;0;1;-49;15,416;-56,016;2692;739,5
2;1;;7;;5;;6;;11;;0;1;-49;16,271;-56,238;3229,1;692,6
3;1;;7;;5;;6;;11;;0;1;-49;18,108;-58,443;3638,1;659
1;1;;7;;5;;6;;10;;0;2;-50;15,364;-55,931;2701,2;738,4
2;1;;7;;5;;6;;10;;0;2;-50;16,281;-56,084;3236,2;691,5
3;1;;7;;5;;6;;10;;0;2;-50;18,149;-58,444;3634,9;658,8
1;1;;7;;5;;6;;9;;0;3;-51;15,322;-55,852;2726,3;735,9
2;1;;7;;5;;6;;9;;0;3;-51;16,304;-55,928;3252,7;689,8
3;1;;7;;5;;6;;9;;0;3;-51;18,182;-58,447;3634;658,5
1;1;;7;;5;;6;;8;;0;2;-52;15,288;-55,781;2752,8;732,4
2;1;;7;;5;;6;;8;;0;2;-52;16,337;-55,78;3270,4;687,8
3;1;;7;;5;;6;;8;;0;2;-52;18,212;-58,458;3636,3;658,5
1;1;;7;;5;;6;;7;;0;1;-53;15,26;-55,72;2766,5;731,3
2;1;;7;;5;;6;;7;;0;1;-53;16,375;-55,643;3281,5;687,1
3;1;;7;;5;;6;;7;;0;1;-53;18,246;-58,487;3642,3;658,2
1;1;;7;;5;;6;;6;;0;0;-54;15,236;-55,668;2767,9;731,4
2;1;;7;;5;;6;;6;;0;0;-54;16,417;-55,517;3286,5;686,9
3;1;;7;;5;;6;;6;;0;0;-54;18,283;-58,536;3651,5;657,5
1;1;;7;;5;;6;;5;;0;1;-55;15,223;-55,626;2765,1;732,6
2;1;;7;;5;;6;;5;;0;1;-55;16,47;-55,402;3289,3;687,3
3;1;;7;;5;;6;;5;;0;1;-55;18,324;-58,605;3655,7;656,8
1;1;;7;;5;;6;;4;;0;2;-56;15,23;-55,592;2766,1;732,8
2;1;;7;;5;;6;;4;;0;2;-56;16,54;-55,298;3292,8;687,3
3;1;;7;;5;;6;;4;;0;2;-56;18,369;-58,691;3646,1;657,8
1;1;;7;;5;;6;;3;;0;3;-57;15,256;-55,565;2770,9;732,7
2;1;;7;;5;;6;;3;;0;3;-57;16,627;-55,203;3296;687,4
3;1;;7;;5;;6;;3;;0;3;-57;18,417;-58,793;3622,8;659,9
1;1;;7;;5;;6;;2;;0;2;-58;15,291;-55,548;2783,5;731,8
2;1;;7;;5;;6;;2;;0;2;-58;16,715;-55,119;3305,6;687,2
3;1;;7;;5;;6;;2;;0;2;-58;18,458;-58,908;3600,2;662,6
1;1;;7;;5;;6;;1;;0;1;-59;15,325;-55,549;2808,6;729,5
2;1;;7;;5;;6;;1;;0;1;-59;16,788;-55,051;3328,8;685,3
3;1;;7;;5;;6;;1;;0;1;-59;18,484;-59,037;3591,6;663
1;1;;7;;5;;6;;0;;0;0;-60;15,359;-55,567;2847,1;726,1
2;1;;7;;5;;6;;0;;0;0;-60;16,847;-55,002;3366,4;682,2
3;1;;7;;5;;6;;0;;0;0;-60;18,494;-59,18;3595,1;662,6
1;1;;7;;5;;5;;23;;0;1;-61;15,383;-55,605;2891;721,3
2;1;;7;;5;;5;;23;;0;1;-61;16,886;-54,968;3410,4;677,6
3;1;;7;;5;;5;;23;;0;1;-61;18,486;-59,323;3594,9;661,6
1;1;;7;;5;;5;;22;;0;2;-62;15,384;-55,662;2930,4;717,6
2;1;;7;;5;;5;;22;;0;2;-62;16,897;-54,946;3452,6;673,9
3;1;;7;;5;;5;;22;;0;2;-62;18,456;-59,447;3579,8;663,1
1;1;;7;;5;;5;;21;;0;3;-63;15,363;-55,742;2963,9;714,4
2;1;;7;;5;;5;;21;;0;3;-63;16,88;-54,937;3492,7;670,4
3;1;;7;;5;;5;;21;;0;3;-63;18,407;-59,549;3554,3;665,3
1;1;;7;;5;;5;;20;;0;2;-64;15,325;-55,826;2990,3;712,2
2;1;;7;;5;;5;;20;;0;2;-64;16,84;-54,929;3526,1;667,3
3;1;;7;;5;;5;;20;;0;2;-64;18,342;-59,633;3535,3;668,2
1;1;;7;;5;;5;;19;;0;1;-65;15,274;-55,895;3008,6;710,7
2;1;;7;;5;;5;;19;;0;1;-65;16,78;-54,905;3548,3;665,5
3;1;;7;;5;;5;;19;;0;1;-65;18,266;-59,707;3536,1;668,1
1;1;;7;;5;;5;;18;;0;0;-66;15,209;-55,951;3018,2;709,9
2;1;;7;;5;;5;;18;;0;0;-66;16,697;-54,867;3559,4;664,6
3;1;;7;;5;;5;;18;;0;0;-66;18,176;-59,773;3554,6;666,6
1;1;;7;;5;;5;;17;;0;1;-67;15,146;-55,987;3024,7;710,2
2;1;;7;;5;;5;;17;;0;1;-67;16,606;-54,808;3566,1;664,8
3;1;;7;;5;;5;;17;;0;1;-67;18,085;-59,823;3580,4;664
1;1;;7;;5;;5;;16;;0;2;-68;15,1;-55,993;3034,4;709,7
2;1;;7;;5;;5;;16;;0;2;-68;16,517;-54,72;3574,7;664,3
3;1;;7;;5;;5;;16;;0;2;-68;18,007;-59,85;3604,9;662,4
1;1;;7;;5;;5;;15;;0;3;-69;15,071;-55,968;3047,2;708,9
2;1;;7;;5;;5;;15;;0;3;-69;16,432;-54,604;3585,4;663,6
3;1;;7;;5;;5;;15;;0;3;-69;17,945;-59,854;3628,5;660,7
1;1;;7;;5;;5;;14;;0;2;-70;15,059;-55,922;3069,3;707,4
2;1;;7;;5;;5;;14;;0;2;-70;16,354;-54,478;3599,6;662,5
3;1;;7;;5;;5;;14;;0;2;-70;17,893;-59,847;3647,1;658,7
1;1;;7;;5;;5;;13;;0;1;-71;15,066;-55,869;3104,7;704,2
2;1;;7;;5;;5;;13;;0;1;-71;16,285;-54,359;3619,4;660,9
3;1;;7;;5;;5;;13;;0;1;-71;17,844;-59,84;3656,7;657,7
1;1;;7;;5;;5;;12;;0;0;-72;15,092;-55,803;3151,1;700,1
2;1;;7;;5;;5;;12;;0;0;-72;16,222;-54,245;3645;658,8
3;1;;7;;5;;5;;12;;0;0;-72;17,8;-59,835;3656,9;657,5
1;1;;7;;5;;5;;11;;0;1;-73;15,133;-55,729;3191,4;695,1
2;1;;7;;5;;5;;11;;0;1;-73;16,158;-54,133;3672,3;656
3;1;;7;;5;;5;;11;;0;1;-73;17,759;-59,834;3659,7;658
1;1;;7;;5;;5;;10;;0;2;-74;15,179;-55,649;3212,7;693,2
2;1;;7;;5;;5;;10;;0;2;-74;16,085;-54,019;3697,8;653,9
3;1;;7;;5;;5;;10;;0;2;-74;17,718;-59,841;3678;656,3
1;1;;7;;5;;5;;9;;0;3;-75;15,23;-55,564;3218,2;692,5
2;1;;7;;5;;5;;9;;0;3;-75;15,999;-53,898;3724,7;651,8
3;1;;7;;5;;5;;9;;0;3;-75;17,679;-59,855;3713,6;653,3
1;1;;7;;5;;5;;8;;0;2;-76;15,282;-55,476;3224,2;693,3
2;1;;7;;5;;5;;8;;0;2;-76;15,912;-53,776;3749,9;649,3
3;1;;7;;5;;5;;8;;0;2;-76;17,643;-59,881;3751;648,9
1;1;;7;;5;;5;;7;;0;1;-77;15,333;-55,392;3244,1;691,5
2;1;;7;;5;;5;;7;;0;1;-77;15,837;-53,654;3766,1;647,8
3;1;;7;;5;;5;;7;;0;1;-77;17,612;-59,922;3773,3;647
1;1;;7;;5;;5;;6;;0;0;-78;15,382;-55,313;3276,8;688,7
2;1;;7;;5;;5;;6;;0;0;-78;15,769;-53,528;3768,4;647,3
3;1;;7;;5;;5;;6;;0;0;-78;17,585;-59,98;3779,6;646,3
