nbdates	date	aot_440_daily	pm10	angstrom440_870	angstrom440_675
19	2009-04-12	0.0911735789	16.333	0.3807697895	0.4899281053
13	2009-04-13	0.1004356923	16.625	0.3489776154	0.4794580769
42	2009-04-14	0.0951735476	14.458	0.5580890238	0.6395348333
23	2009-04-15	0.0813606957	17.792	0.4339136522	0.5333080435
22	2009-04-16	0.0943638182	17.792	0.3599988636	0.4671817273
23	2009-04-17	0.0783977391	18.708	0.4634542174	0.5938452609
17	2009-04-18	0.1054131176	16.625	0.5305991765	0.6530368824
12	2009-04-27	0.0751024167	15.792	0.4333310833	0.5619971667
13	2009-04-29	0.1209203077	19.792	0.1590841538	0.2363957692
13	2009-05-11	0.0832310769	15.750	0.3635268462	0.4745736923
18	2009-05-15	0.1213972222	21.750	0.2270766111	0.3144263333
14	2009-05-21	0.1349717857	23.250	0.3479852857	0.4426187857
24	2009-05-24	0.1489759167	22.333	0.3535154167	0.4143008333
14	2009-05-25	0.1625989286	25.625	0.3135609286	0.3701045000
14	2009-05-26	0.3331757857	40.083	0.2241560000	0.2513827857
15	2009-05-27	0.4286304000	46.583	0.1907714667	0.1964306667
22	2009-05-28	0.3899756818	45.083	0.1749455000	0.1716660455
30	2009-05-31	0.0786455333	18.600	0.5353004333	0.6728489333
14	2009-06-01	0.1431335000	34.111	0.2624636429	0.3436772857
12	2009-06-03	0.1470930000	26.375	0.3720941667	0.4387075833
23	2009-06-05	0.0840228696	16.792	0.4336888696	0.5796528696
31	2009-06-08	0.4380548065	64.042	0.1340972581	0.1374760323
13	2009-06-09	0.3565944615	29.958	0.1947972308	0.2054402308
42	2009-06-10	0.1931892143	19.000	0.2334595714	0.2777198810
25	2009-06-12	0.1263626800	25.583	0.2610000800	0.3556491200
12	2009-06-13	0.2114929167	42.833	0.0633181667	0.1141050000
32	2009-06-14	0.1840258125	27.636	0.1652060938	0.2197910313
15	2009-06-15	0.1514004000	21.400	0.2928740667	0.3830354667
18	2009-06-19	0.1275055000	17.792	0.1923322778	0.2809643333
18	2009-06-22	0.0933145000	13.913	0.3823584444	0.5043465556
18	2009-06-26	0.6973175000	112.458	0.0682815000	0.0370612778
33	2009-06-27	0.4486172424	78.750	0.1036424848	0.0804943030
42	2009-06-28	0.4372205714	83.667	0.1220537381	0.1036572381
21	2009-06-29	0.2152731905	54.917	0.2009784762	0.2386766190
20	2009-06-30	0.0977373000	19.250	0.5533250500	0.6838105000
24	2009-07-01	0.1687584583	52.292	0.2018280833	0.2385005417
14	2009-07-06	0.5655870714	49.750	0.0763127143	0.0615858571
24	2009-07-07	0.1805470000	26.708	0.4471987917	0.5102745833
39	2009-07-08	0.1352562051	20.750	0.5335312564	0.6125804615
32	2009-07-09	0.2202751563	44.500	0.1952296875	0.2170444688
20	2009-07-11	0.3329047000	33.583	0.1336806500	0.1502009500
25	2009-07-12	0.0976861600	14.750	0.6037660000	0.7369655200
14	2009-07-13	0.2851916429	38.917	0.1057095714	0.1158188571
15	2009-07-22	0.5965968667	39.708	0.1100476000	0.0912296667
12	2009-07-23	0.5047851667	52.833	0.0835730000	0.0616620833
15	2009-07-24	0.4372901333	35.417	0.1434654667	0.1324570000
13	2009-07-25	0.2935296923	19.000	0.1785186154	0.1725212308
16	2009-07-28	0.4017258750	61.292	0.1241991250	0.1374231875
18	2009-07-29	0.2594205556	25.167	0.1764790556	0.2191161111
17	2009-07-31	0.3048607059	32.533	0.1791799412	0.2047251176
16	2009-08-01	0.2511081250	31.458	0.1826514375	0.2041621250
13	2009-08-02	0.1185497692	26.458	0.2094191538	0.2769251538
26	2009-08-03	0.1889584615	43.750	0.1915193077	0.2177750385
30	2009-08-04	0.3416028333	50.667	0.1699362000	0.1910174333
34	2009-08-05	0.2877029118	53.792	0.1664404412	0.1950980588
16	2009-09-24	0.0482428750	19.083	0.5371695625	0.6905465000
35	2010-04-28	0.5325299429	94.208	0.1124373143	0.0907462286
26	2010-04-29	0.1851645000	50.083	0.4648103846	0.5161639231
27	2010-05-02	0.0967813704	17.583	0.8550462593	0.9613113333
12	2010-05-04	0.1393907500	19.458	0.6417585833	0.7570701667
22	2010-05-05	0.1412555000	21.375	0.7320242273	0.8663135909
12	2010-05-06	0.0632578333	15.917	1.3388951667	1.4151846667
24	2010-05-08	0.0830537083	19.750	0.7024003333	0.7753740833
24	2010-05-09	0.0848048750	21.917	0.7019100000	0.7648030833
15	2010-05-10	0.0716894667	18.526	0.6474826000	0.7871108000
18	2010-05-18	0.1532180556	24.583	0.6244644444	0.7186797222
12	2010-05-19	0.1549084167	22.958	0.4888327500	0.5811197500
13	2010-05-21	0.1288109231	23.917	0.3712315385	0.4540877692
21	2010-05-23	0.1944447143	34.250	0.3197319048	0.3543018571
18	2010-05-25	0.3746784444	67.250	0.1805361111	0.1827183889
23	2010-05-30	0.1291708696	30.042	0.5219686087	0.5993451304
33	2010-05-31	0.6289675758	81.500	0.1022346667	0.0781819394
12	2010-06-01	0.8173007500	104.375	0.1210299167	0.0833150833
39	2010-06-02	0.8827860513	97.958	0.1514933333	0.1071037949
35	2010-06-03	0.7722583429	103.333	0.1322472286	0.0951001429
25	2010-06-05	0.1015221600	18.167	0.7552384000	0.7648792000
24	2010-06-06	0.0928984583	31.833	0.8434555417	0.8295034583
35	2010-06-07	0.1315206857	41.500	0.4542399143	0.4911375429
21	2010-06-08	0.2853264762	51.625	0.1449743810	0.1615293333
19	2010-06-12	0.1098192632	21.500	0.5911155789	0.6546445789
53	2010-06-13	0.1118223585	32.333	0.5885197925	0.6393222830
24	2010-06-14	0.0835360417	11.208	1.2292111250	1.3196185833
23	2010-06-15	0.0860593043	14.458	0.8137416522	0.9234123913
12	2010-06-20	0.1262622500	19.208	0.4380063333	0.5371503333
16	2010-06-22	0.1940391250	34.708	0.2124432500	0.2654645625
15	2010-06-27	0.2070190000	27.458	0.3049135333	0.3222952000
36	2010-07-07	0.5182489722	70.000	0.1398263889	0.1275389722
17	2010-07-08	0.1794224706	37.542	0.4261243529	0.4737278824
31	2010-07-09	0.2061919032	33.667	0.2958408065	0.3213472258
14	2010-07-13	0.3235347857	42.250	0.0806725714	0.0915015000
19	2010-07-14	0.4007911579	55.217	0.1388853158	0.1406573684
14	2010-07-15	0.2642594286	38.000	0.3040342143	0.3541187143
28	2010-07-24	0.2845381071	32.000	0.2979543571	0.3217457500
30	2010-07-25	0.3000370000	54.417	0.2920467333	0.3151349000
17	2010-07-26	0.2198611765	30.125	0.3706587059	0.4126618235
27	2010-07-27	0.0739590741	19.292	0.9899378889	1.1026656667
16	2010-07-29	0.3392486875	42.333	0.1561673750	0.1711049375
13	2010-07-31	0.2342120000	27.167	0.3895181538	0.4496286923
22	2010-08-01	0.1040868636	22.739	0.6591095909	0.7738285455
33	2010-08-05	0.2730720303	21.917	0.3357564545	0.3421473939
30	2010-08-06	0.4299506000	46.458	0.2524862000	0.2531244333
18	2010-08-07	0.1211071667	23.000	0.4674343333	0.5153158333
16	2010-08-08	0.0789091875	4.000	0.8346131250	0.8427481250
16	2010-08-10	0.1226998750	10.125	1.2905315000	1.2615731875
26	2010-08-12	0.1917355385	21.875	0.5283395385	0.5908018462
19	2010-08-13	0.1058597895	26.125	0.8850377895	0.9726917895
37	2010-08-14	0.0889708108	19.708	1.1287226486	1.2069252973
25	2010-08-17	0.3824038800	42.583	0.2489996000	0.2510663200
30	2010-08-18	0.5289409667	90.042	0.1442649333	0.1445323000
20	2010-08-19	0.4084787000	59.000	0.1607012000	0.1788068500
14	2010-08-20	0.1852495000	29.375	0.4320142857	0.4792168571
33	2010-09-02	0.3250937273	53.208	0.3103530909	0.3310418182
31	2010-09-03	0.5415392258	54.500	0.2942128387	0.2941785161
19	2010-09-04	0.1251665263	29.208	1.1262013158	1.2065265263
12	2010-09-05	0.1142650000	19.750	1.0088502500	1.1002691667
14	2010-09-06	0.1099173571	18.750	1.2808920714	1.3488252857
16	2010-09-12	0.0940648750	13.542	0.8449806875	0.9981990625
19	2010-09-14	0.0450150526	25.792	1.6730152105	1.7740440000
17	2010-09-18	0.3382842353	19.875	0.7299772941	0.8381580000
13	2010-09-19	0.1059452308	15.000	1.3713146154	1.4589821538
16	2010-09-21	0.5969241875	79.500	0.0802286250	0.0638113125
26	2010-09-24	0.1050078462	19.292	0.6779966154	0.8052725000
27	2010-09-27	0.0663145185	11.750	2.5408598889	2.4144079630
19	2010-10-10	0.2212400000	15.667	0.7602040000	0.8457711579
50	2010-10-11	0.2315994000	21.583	1.1568029400	1.2063362400
30	2010-10-12	0.1002272667	25.875	0.6802650667	0.8027402333
44	2010-10-13	0.0816590000	23.500	0.9075440909	1.0253464318
28	2010-10-14	0.0744500000	19.250	0.9485048571	1.0985093929
17	2010-10-15	0.1000533529	17.333	0.8443002353	0.9712640588
44	2010-10-16	0.0890607727	17.583	0.8207752955	0.9778747273
51	2010-10-19	0.0686273725	12.417	1.0443204314	1.2315767255
49	2010-10-20	0.0593370816	16.792	1.3129579796	1.4979007143
32	2010-10-21	0.0676074688	15.000	2.2176101875	2.0832672500
