nbdates	date	aot_440_daily	pm25	angstrom440_870	angstrom440_675
12	2005-10-18	0.0950300833	3.3000000	0.2053036667	0.2615061667
18	2005-10-19	0.0789807778	2.4000000	0.4448748889	0.5136256667
18	2005-10-20	0.1470555556	2.7000000	0.0504177778	0.0966353889
19	2005-10-25	0.0682688421	4.1000000	0.4892069474	0.5042657895
21	2005-10-26	0.0592021905	3.2000000	0.4376430476	0.4896968095
26	2005-10-28	0.1300329615	6.0000000	0.1203490769	0.1433747692
36	2005-10-29	0.0684024722	2.5000000	0.2900626944	0.3295806667
22	2005-10-30	0.0789365909	2.9000000	0.5437599091	0.6100678636
19	2005-11-01	0.1610362105	3.1000000	0.0610007895	0.1032990526
35	2005-11-02	0.1383220000	5.4000000	0.1797404571	0.2022406000
20	2005-11-03	0.1470220000	5.2000000	0.5358076500	0.5914466500
20	2005-11-04	0.0633560000	2.7000000	0.5162968500	0.5978521500
28	2005-11-06	0.1220942500	4.6000000	0.2579868929	0.2904947143
19	2005-11-07	0.0783246316	3.3000000	0.1983561579	0.2245335789
29	2005-11-08	0.1008088621	4.1000000	0.3293402069	0.3922100690
21	2005-11-09	0.0966789048	2.5000000	0.2507183333	0.3175199524
16	2005-11-22	0.0717029375	2.0000000	1.1286842500	1.1274736875
32	2005-11-27	0.0964754375	3.2000000	0.2459099375	0.3024294063
19	2005-11-28	0.0836820526	3.2000000	0.2551225263	0.3019854211
19	2005-11-29	0.0756829474	3.0000000	0.1381794211	0.1681127368
18	2005-11-30	0.0772819444	3.9000000	0.1330544444	0.1561571111
16	2005-12-01	0.0633193750	3.4000000	0.5310903750	0.6473707500
13	2005-12-04	0.0449367692	2.2000000	0.4319073077	0.6010893077
28	2005-12-05	0.0592721786	3.3000000	0.3169273571	0.3951323929
24	2005-12-07	0.0800357917	3.4000000	0.1899822917	0.2542188750
40	2005-12-08	0.0881388250	3.9000000	0.0958397750	0.1370228250
15	2005-12-09	0.0855726000	3.5000000	0.0771056000	0.1128683333
15	2005-12-10	0.0507518000	2.4000000	0.2732028667	0.3188709333
30	2005-12-12	0.0719259000	3.4000000	0.3804329333	0.4397484333
25	2005-12-16	0.0611447200	2.5000000	0.5032473600	0.6188703200
26	2005-12-17	0.0788279615	2.6000000	0.1847396538	0.2660051923
21	2005-12-18	0.0697097619	2.6000000	0.2380995714	0.3331980952
34	2005-12-19	0.0863719412	2.7000000	0.2363261471	0.3722884412
21	2005-12-20	0.0619661429	1.8000000	0.2375697143	0.3879924286
20	2005-12-22	0.0597351500	2.5000000	0.2141571500	0.2473538500
32	2005-12-23	0.0475483125	2.3000000	0.2994437813	0.4058034375
25	2005-12-28	0.0479243200	1.8000000	0.6175810800	0.8719358800
15	2005-12-29	0.0796141333	2.1000000	0.3454002667	0.5411056000
26	2005-12-31	0.0531911538	2.6000000	0.1455478846	0.3161195769
13	2006-01-01	0.0935119231	3.1000000	0.0462927692	0.1705787692
20	2006-01-02	0.1356222500	3.7000000	0.0589392000	0.1351672500
13	2006-01-04	0.0947323846	3.4000000	0.2459022308	0.3756844615
31	2006-01-08	0.0428191613	2.1000000	0.4775352903	0.6911662581
14	2006-01-10	0.1137052857	4.2000000	0.0424697143	0.0883672857
26	2006-01-11	0.1042283846	3.8000000	0.0113004615	0.0627544615
24	2006-01-12	0.0883042917	3.8000000	0.0219776250	0.0951697500
27	2006-01-13	0.0846270370	2.9000000	0.0351251111	0.1037684074
12	2006-01-18	0.0863277500	3.7000000	0.4147058333	0.5562160833
16	2006-01-19	0.0722299375	3.4000000	0.1584530625	0.2651411875
22	2006-01-23	0.0924949545	4.4000000	0.0487516364	0.1158405455
23	2006-01-24	0.1011751304	4.0000000	0.0515879130	0.0957174783
27	2006-01-25	0.0842010000	3.5000000	0.0542977778	0.1370205926
12	2006-01-27	0.0889473333	2.8000000	0.3485927500	0.4918664167
13	2006-01-31	0.1270913077	3.6000000	0.2242456923	0.3049866923
12	2006-02-01	0.0662795833	3.1000000	0.2916889167	0.3677415833
13	2006-02-08	0.0819213846	2.2000000	0.6202393077	0.7247873846
32	2006-02-09	0.0685984688	2.7000000	0.3925510625	0.5310141250
33	2006-02-10	0.0675796061	2.8000000	0.4800558788	0.6302332727
25	2006-02-12	0.0793056000	3.6000000	0.0779585200	0.1780324400
23	2006-02-13	0.1129666087	4.5000000	0.4907764783	0.6192803043
29	2006-02-14	0.0812146552	2.1000000	0.2357702069	0.3362783103
36	2006-11-17	0.0568123889	2.7000000	0.8548580000	1.1101315278
41	2006-11-18	0.0565752683	4.7000000	1.1952844878	1.4514776098
42	2006-11-19	0.2137861190	6.7000000	1.6525726667	1.6994836667
18	2006-11-20	0.2852703333	7.1000000	1.5200030000	1.5404689444
26	2006-11-21	0.1389950000	5.3000000	0.5789748462	0.6943006923
26	2006-11-22	0.1413330769	4.9000000	0.2198278462	0.2988333077
37	2006-11-23	0.0670359189	3.0000000	0.1364987568	0.2566597568
25	2006-11-24	0.0593264800	4.2000000	0.1399062000	0.2547760400
24	2006-11-25	0.0963066667	5.5000000	0.7112377500	0.8565215417
28	2006-11-26	0.1693053571	6.6000000	1.4524146429	1.5308049286
19	2006-11-27	0.0641928947	1.8000000	0.6884514211	0.9352195789
24	2006-12-02	0.0993174583	4.9000000	-0.0783076667	-0.0466303333
25	2007-02-28	0.1200350000	5.0000000	0.5351032800	0.6691246400
35	2007-03-01	0.0685577143	4.3000000	0.3047724286	0.4345643143
22	2007-03-03	0.0833661818	3.5000000	0.0499343182	0.1247236364
17	2007-03-04	0.1194036471	5.0000000	0.0528232941	0.1184291176
20	2007-03-05	0.0600861000	3.6000000	-0.0052084000	0.0975064000
32	2007-03-06	0.1266619688	4.5000000	0.3105848438	0.4084832500
14	2007-03-07	0.1759321429	7.8000000	0.2974429286	0.3771258571
20	2007-03-08	0.3747306500	10.8000000	0.3368474000	0.3784369000
16	2007-03-09	0.6253548750	9.9000000	0.3519248125	0.3642229375
33	2007-03-10	0.3164444242	8.9000000	0.3402122121	0.3612055152
27	2007-03-11	0.2731783704	9.8000000	0.2208896667	0.2388895926
32	2007-03-12	0.1907363125	6.7000000	0.3769418750	0.4655534375
15	2007-03-21	0.1066946667	5.0000000	-0.0649855333	-0.0107698000
13	2007-03-22	0.0358208462	2.4000000	-0.1281350000	-0.0778754615
14	2007-03-23	0.0674203571	3.6000000	-0.1476779286	-0.0522973571
32	2007-03-24	0.0884551250	2.7000000	0.2660790000	0.3650621875
18	2007-04-27	0.0811266667	2.5000000	0.4309510556	0.6944502222
26	2007-05-16	0.5809673462	40.7000000	0.0595931923	0.0627162308
43	2007-05-17	0.1677569302	12.3000000	0.1829997209	0.3013981860
34	2007-05-18	0.6633095000	26.5000000	0.1807433824	0.1880960588
29	2007-05-19	0.5273391379	22.3000000	0.3177362414	0.3478580000
48	2007-05-20	0.2879258750	11.3000000	0.1503668542	0.1867396458
33	2007-05-21	0.1363821818	5.3000000	0.2669104848	0.4789356667
30	2007-05-22	0.0787475667	2.6000000	0.2316718667	0.5734011333
36	2007-05-23	0.0822508333	3.2000000	0.3375945833	0.6789888889
31	2007-05-25	0.1281347097	7.0000000	0.5191000323	0.7612250323
16	2007-05-26	0.2116455000	10.4000000	0.8037191250	1.0385232500
16	2007-05-29	0.0715141250	4.2000000	0.2346861250	0.6502784375
20	2007-06-13	0.1502247500	5.5000000	0.0925080500	0.2428799500
48	2007-06-15	0.5832351667	10.3000000	0.0984068125	0.1005220000
54	2007-06-16	0.4972248333	10.1000000	0.0947118889	0.1076869444
14	2007-06-17	0.2707142143	7.5000000	0.1133031429	0.1993687143
26	2007-06-18	0.1169619615	4.1000000	0.2087210000	0.3945632308
31	2007-06-23	0.2031750000	9.3000000	0.1364252581	0.2337511613
24	2007-06-25	0.1982552083	4.6000000	0.0585715417	0.1485070833
17	2007-06-27	0.1793049412	4.4000000	0.2270170588	0.4010511176
41	2007-06-28	0.1021708049	2.6000000	0.3344079756	0.5762647805
44	2007-06-29	0.2145397273	7.2000000	0.2221085455	0.3288641364
26	2007-06-30	0.2592780385	10.8000000	0.1819111538	0.2731913077
19	2007-07-01	0.6361828947	12.5000000	0.2291092632	0.2580746316
40	2007-07-02	0.4612377750	14.2000000	0.0776879500	0.1022820500
50	2007-07-03	0.2414677200	14.2000000	0.0694149000	0.1329334600
46	2007-07-04	0.0898588696	3.0000000	0.4581536957	0.7457336739
30	2007-07-05	0.1536250333	7.0000000	0.1245725000	0.2561414667
31	2007-07-06	0.2150626129	8.2000000	0.0797643871	0.1714500323
23	2007-07-07	0.1013626957	5.0000000	0.2334951304	0.4681366522
46	2007-07-08	0.1505318478	5.7000000	0.2565928261	0.4013141304
14	2007-07-09	0.3147790714	7.8000000	0.0944675714	0.1533783571
30	2007-07-10	0.3158406000	8.8000000	0.0977930333	0.1695197333
24	2007-07-12	0.5210862500	6.1000000	0.0931834583	0.1093584583
20	2007-07-13	0.5266188500	7.0000000	0.0934938500	0.1016289500
27	2007-07-14	0.1116202222	4.0000000	0.3340700000	0.6282727407
29	2007-07-15	0.2149559310	3.8000000	0.1603892414	0.2434446552
34	2007-07-18	0.4563541471	6.4000000	0.1187549118	0.1617564706
12	2007-07-25	0.4256873333	6.9000000	0.1614515833	0.2072100833
30	2007-07-26	0.3885533333	14.0000000	0.1031691333	0.1334221667
34	2007-07-27	0.4178858529	13.0000000	0.0783337647	0.0976205000
38	2007-07-28	0.4229017895	12.1000000	0.1033061053	0.1234651579
27	2007-07-29	0.2624258148	6.9000000	0.1479238889	0.2153396667
27	2007-07-30	0.1012447778	3.3000000	0.3700801111	0.6381737778
14	2007-07-31	0.1686836429	4.2000000	0.2315734286	0.3829317857
34	2007-08-01	0.1761545294	4.4000000	0.1329940588	0.2653652941
12	2007-08-03	0.4870004167	7.8000000	0.2919319167	0.3727660000
16	2007-08-05	0.2795087500	7.9000000	0.2839003125	0.4083831875
15	2007-08-06	0.0765114000	4.6000000	0.1940774667	0.4921254667
12	2007-08-09	0.2893755000	8.5000000	0.1675784167	0.2567612500
42	2007-08-12	0.5312781905	10.8000000	0.1554189762	0.1863599286
44	2007-08-13	0.2577294545	6.0000000	0.2328410682	0.3152548636
50	2007-08-14	0.1003015800	2.5000000	0.2885441200	0.5317250800
33	2007-08-15	0.0724227879	2.2000000	0.2893016970	0.6441255758
27	2007-08-16	0.2368096296	4.7000000	0.0979308889	0.2124678889
15	2007-08-17	0.3367366000	10.9000000	0.0699588000	0.1041241333
21	2007-08-19	0.1834685714	6.8000000	0.1549386667	0.3001274762
26	2007-08-20	0.2167620385	4.8000000	0.1733415769	0.3275409615
21	2007-08-21	0.2352046667	5.5000000	0.4330112381	0.5801633333
44	2007-08-22	0.0850339545	4.5000000	0.5202442273	0.9339225455
31	2007-08-23	0.0711065806	2.5000000	0.2151717419	0.5472813548
28	2007-08-25	0.0802883571	2.6000000	0.3697873571	0.7188423214
16	2007-08-27	0.2101081250	2.6000000	0.2131866250	0.3302937500
23	2007-08-30	0.1065565652	3.5000000	0.1669399130	0.4166684783
21	2007-09-01	0.1661495714	4.0000000	0.1744890952	0.3197431429
40	2007-09-02	0.1635223750	5.4000000	0.2013282750	0.3300413000
47	2007-09-03	0.0758657021	2.3000000	0.5357982340	0.9074347447
29	2007-09-04	0.1124761724	2.9000000	0.4858881379	0.7890385172
26	2007-09-05	0.0886239615	4.1000000	0.7113230769	1.0768735769
32	2007-09-06	0.2643357500	8.7000000	1.0852652188	1.2340853438
42	2007-09-07	0.1382464762	6.2000000	0.2584570000	0.4470242619
32	2007-09-08	0.1033959375	3.3000000	0.4443828750	0.7406666250
38	2007-09-09	0.1196835789	4.0000000	0.4720746842	0.7113528158
29	2007-09-10	0.1062677931	4.0000000	0.4375312069	0.7293398276
