nbdates	date	aot_440_daily	angstrom440_870
12	2009-04-27	0.0751024167	0.4333310833
13	2009-04-29	0.1209203077	0.1590841538
13	2009-05-11	0.0832310769	0.3635268462
18	2009-05-15	0.1213972222	0.2270766111
14	2009-05-21	0.1349717857	0.3479852857
24	2009-05-24	0.1489759167	0.3535154167
14	2009-05-25	0.1625989286	0.3135609286
14	2009-05-26	0.3331757857	0.2241560000
15	2009-05-27	0.4286304000	0.1907714667
22	2009-05-28	0.3899756818	0.1749455000
30	2009-05-31	0.0786455333	0.5353004333
14	2009-06-01	0.1431335000	0.2624636429
12	2009-06-03	0.1470930000	0.3720941667
23	2009-06-05	0.0840228696	0.4336888696
31	2009-06-08	0.4380548065	0.1340972581
13	2009-06-09	0.3565944615	0.1947972308
42	2009-06-10	0.1931892143	0.2334595714
25	2009-06-12	0.1263626800	0.2610000800
12	2009-06-13	0.2114929167	0.0633181667
32	2009-06-14	0.1840258125	0.1652060938
15	2009-06-15	0.1514004000	0.2928740667
18	2009-06-19	0.1275055000	0.1923322778
18	2009-06-22	0.0933145000	0.3823584444
18	2009-06-26	0.6973175000	0.0682815000
33	2009-06-27	0.4486172424	0.1036424848
42	2009-06-28	0.4372205714	0.1220537381
21	2009-06-29	0.2152731905	0.2009784762
20	2009-06-30	0.0977373000	0.5533250500
24	2009-07-01	0.1687584583	0.2018280833
14	2009-07-06	0.5655870714	0.0763127143
24	2009-07-07	0.1805470000	0.4471987917
39	2009-07-08	0.1352562051	0.5335312564
32	2009-07-09	0.2202751563	0.1952296875
20	2009-07-11	0.3329047000	0.1336806500
25	2009-07-12	0.0976861600	0.6037660000
14	2009-07-13	0.2851916429	0.1057095714
15	2009-07-22	0.5965968667	0.1100476000
12	2009-07-23	0.5047851667	0.0835730000
15	2009-07-24	0.4372901333	0.1434654667
13	2009-07-25	0.2935296923	0.1785186154
16	2009-07-28	0.4017258750	0.1241991250
18	2009-07-29	0.2594205556	0.1764790556
17	2009-07-31	0.3048607059	0.1791799412
16	2009-08-01	0.2511081250	0.1826514375
13	2009-08-02	0.1185497692	0.2094191538
26	2009-08-03	0.1889584615	0.1915193077
30	2009-08-04	0.3416028333	0.1699362000
34	2009-08-05	0.2877029118	0.1664404412
16	2009-09-24	0.0482428750	0.5371695625
35	2010-04-28	0.5325299429	0.1124373143
26	2010-04-29	0.1851645000	0.4648103846
27	2010-05-02	0.0967813704	0.8550462593
12	2010-05-04	0.1393907500	0.6417585833
22	2010-05-05	0.1412555000	0.7320242273
12	2010-05-06	0.0632578333	1.3388951667
24	2010-05-08	0.0830537083	0.7024003333
24	2010-05-09	0.0848048750	0.7019100000
15	2010-05-10	0.0716894667	0.6474826000
18	2010-05-18	0.1532180556	0.6244644444
12	2010-05-19	0.1549084167	0.4888327500
13	2010-05-21	0.1288109231	0.3712315385
21	2010-05-23	0.1944447143	0.3197319048
18	2010-05-25	0.3746784444	0.1805361111
23	2010-05-30	0.1291708696	0.5219686087
33	2010-05-31	0.6289675758	0.1022346667
12	2010-06-01	0.8173007500	0.1210299167
39	2010-06-02	0.8827860513	0.1514933333
35	2010-06-03	0.7722583429	0.1322472286
25	2010-06-05	0.1015221600	0.7552384000
24	2010-06-06	0.0928984583	0.8434555417
35	2010-06-07	0.1315206857	0.4542399143
21	2010-06-08	0.2853264762	0.1449743810
19	2010-06-12	0.1098192632	0.5911155789
53	2010-06-13	0.1118223585	0.5885197925
24	2010-06-14	0.0835360417	1.2292111250
23	2010-06-15	0.0860593043	0.8137416522
12	2010-06-20	0.1262622500	0.4380063333
16	2010-06-22	0.1940391250	0.2124432500
15	2010-06-27	0.2070190000	0.3049135333
36	2010-07-07	0.5182489722	0.1398263889
17	2010-07-08	0.1794224706	0.4261243529
31	2010-07-09	0.2061919032	0.2958408065
14	2010-07-13	0.3235347857	0.0806725714
19	2010-07-14	0.4007911579	0.1388853158
14	2010-07-15	0.2642594286	0.3040342143
28	2010-07-24	0.2845381071	0.2979543571
30	2010-07-25	0.3000370000	0.2920467333
17	2010-07-26	0.2198611765	0.3706587059
27	2010-07-27	0.0739590741	0.9899378889
16	2010-07-29	0.3392486875	0.1561673750
13	2010-07-31	0.2342120000	0.3895181538
22	2010-08-01	0.1040868636	0.6591095909
33	2010-08-05	0.2730720303	0.3357564545
30	2010-08-06	0.4299506000	0.2524862000
18	2010-08-07	0.1211071667	0.4674343333
16	2010-08-08	0.0789091875	0.8346131250
16	2010-08-10	0.1226998750	1.2905315000
26	2010-08-12	0.1917355385	0.5283395385
19	2010-08-13	0.1058597895	0.8850377895
37	2010-08-14	0.0889708108	1.1287226486
25	2010-08-17	0.3824038800	0.2489996000
30	2010-08-18	0.5289409667	0.1442649333
20	2010-08-19	0.4084787000	0.1607012000
14	2010-08-20	0.1852495000	0.4320142857
33	2010-09-02	0.3250937273	0.3103530909
31	2010-09-03	0.5415392258	0.2942128387
19	2010-09-04	0.1251665263	1.1262013158
12	2010-09-05	0.1142650000	1.0088502500
14	2010-09-06	0.1099173571	1.2808920714
16	2010-09-12	0.0940648750	0.8449806875
19	2010-09-14	0.0450150526	1.6730152105
17	2010-09-18	0.3382842353	0.7299772941
13	2010-09-19	0.1059452308	1.3713146154
16	2010-09-21	0.5969241875	0.0802286250
26	2010-09-24	0.1050078462	0.6779966154
27	2010-09-27	0.0663145185	2.5408598889
19	2010-10-10	0.2212400000	0.7602040000
50	2010-10-11	0.2315994000	1.1568029400
30	2010-10-12	0.1002272667	0.6802650667
44	2010-10-13	0.0816590000	0.9075440909
28	2010-10-14	0.0744500000	0.9485048571
17	2010-10-15	0.1000533529	0.8443002353
44	2010-10-16	0.0890607727	0.8207752955
51	2010-10-19	0.0686273725	1.0443204314
49	2010-10-20	0.0593370816	1.3129579796
32	2010-10-21	0.0676074688	2.2176101875
34	2010-10-22	0.0647702941	1.2727962059
23	2010-10-24	0.1056017826	0.8477284348
13	2010-10-25	0.1025907692	0.7280153077
17	2010-10-26	0.0913365882	0.6214934118
17	2010-10-28	0.0585712941	2.9093702941
15	2010-11-05	0.1339483333	0.4270993333
20	2010-11-07	0.0821921500	1.1495230500
20	2010-11-20	0.0934891000	0.9660291000
25	2010-11-24	0.0984384000	0.4641390800
31	2010-11-26	0.0569610000	1.5369210968
38	2010-11-29	0.0723692105	0.9035108421
14	2010-11-30	0.0583377857	0.8372301429
