2014-01-17;05 11
2014-01-17;06 13
2014-01-17;07 14
2014-01-17;08 17
2014-01-17;09 18
2014-01-17;10 19
2014-01-17;11 20
2014-01-17;12 20
2014-01-17;13 23
2014-01-17;14 24
2014-01-17;15 19
2014-01-17;16 18
2014-01-17;17 22
2014-01-17;18 22
2014-01-17;19 20
2014-01-17;20 21
2014-01-17;21 21
2014-01-17;22 17
2014-01-17;23 17
2014-01-18;00 18
2014-01-18;01 19
2014-01-18;02 18
2014-01-18;03 12
2014-01-18;04 22
2014-01-18;05 36
2014-01-18;06 41
2014-01-18;07 39
2014-01-18;08 43
2014-01-18;09 48
2014-01-18;10 57
2014-01-18;11 60
2014-01-18;12 60
2014-01-18;13 60
2014-01-18;14 59
2014-01-18;15 60
2014-01-18;16 59
2014-01-18;17 58
2014-01-18;18 63
2014-01-18;19 63
2014-01-18;20 63
2014-01-18;21 61
2014-01-18;22 60
2014-01-18;23 59
2014-01-19;00 60
2014-01-19;01 55
2014-01-19;02 51
2014-01-19;03 49
2014-01-19;04 48
2014-01-19;05 47
2014-01-19;06 43
2014-01-19;07 45
2014-01-19;08 45
2014-01-19;09 48
2014-01-19;10 49
2014-01-19;11 49
2014-01-19;12 48
2014-01-19;13 42
2014-01-19;14 40
2014-01-19;15 40
2014-01-19;16 40
2014-01-19;17 36
2014-01-19;18 37
2014-01-19;19 36
2014-01-19;20 34
2014-01-19;21 31
2014-01-19;22 30
2014-01-19;23 32
2014-01-20;00 30
2014-01-20;01 29
2014-01-20;02 27
2014-01-20;03 29
2014-01-20;04 28
2014-01-20;05 26
2014-01-20;06 26
2014-01-20;07 32
2014-01-20;08 31
2014-01-20;09 29
2014-01-20;10 29
2014-01-20;11 31
2014-01-20;12 32
2014-01-20;13 30
2014-01-20;14 26
2014-01-20;15 26
2014-01-20;16 29
2014-01-20;17 29
2014-01-20;18 28
2014-01-20;19 29
2014-01-20;20 27
2014-01-20;21 26
2014-01-20;22 25
2014-01-20;23 22
2014-01-21;00 24
2014-01-21;01 21
2014-01-21;02 22
2014-01-21;03 22
2014-01-21;04 20
2014-01-21;05 19
2014-01-21;06 18
2014-01-21;07 14
2014-01-21;08 16
2014-01-21;09 20
2014-01-21;10 22
2014-01-21;11 26
2014-01-21;12 26
2014-01-21;13 21
2014-01-21;14 20
2014-01-21;15 22
2014-01-21;16 21
2014-01-21;17 20
2014-01-21;18 21
2014-01-21;19 22
2014-01-21;20 19
2014-01-21;21 19
2014-01-21;22 14
2014-01-21;23 14
2014-01-22;00 13
2014-01-22;01 15
2014-01-22;02 15
2014-01-22;03 13
2014-01-22;04 12
2014-01-22;05 13
2014-01-22;06 12
2014-01-22;07 12
2014-01-22;08 16
2014-01-22;09 20
2014-01-22;10 23
2014-01-22;11 31
2014-01-22;12 28
2014-01-22;13 31
2014-01-22;14 30
2014-01-22;15 30
2014-01-22;16 25
2014-01-22;17 26
2014-01-22;18 27
2014-01-22;19 26
2014-01-22;20 27
2014-01-22;21 24
2014-01-22;22 20
2014-01-22;23 18
2014-01-23;00 17
2014-01-23;01 15
2014-01-23;02 15
2014-01-23;03 15
2014-01-23;04 13
2014-01-23;05 12
2014-01-23;06 16
2014-01-23;07 19
2014-01-23;08 21
2014-01-23;09 23
2014-01-23;10 19
2014-01-23;11 20
2014-01-23;12 18
2014-01-23;13 20
2014-01-23;14 19
2014-01-23;15 17
2014-01-23;16 19
2014-01-23;17 20
2014-01-23;18 22
2014-01-23;19 22
2014-01-23;20 19
2014-01-23;21 18
2014-01-23;22 17
2014-01-23;23 16
2014-01-24;00 16
2014-01-24;01 20
2014-01-24;02 20
2014-01-24;03 19
2014-01-24;04 17
2014-01-24;05 17
2014-01-24;06 15
2014-01-24;07 17
2014-01-24;08 17
2014-01-24;09 17
2014-01-24;10 20
2014-01-24;11 21
2014-01-24;12 18
2014-01-24;13 14
2014-01-24;14 10
2014-01-24;15 10
2014-01-24;16 13
2014-01-24;17 12
2014-01-24;18 14
2014-01-24;19 16
2014-01-24;20 17
2014-01-24;21 22
2014-01-24;22 24
2014-01-24;23 19
2014-01-25;00 14
2014-01-25;01 14
2014-01-25;02 15
2014-01-25;03 15
2014-01-25;04 16
2014-01-25;05 16
2014-01-25;06 17
2014-01-25;07 18
2014-01-25;08 15
2014-01-25;09 13
2014-01-25;10 18
