date	avg(pm10)
2003-05-14	9.7142857
2003-05-15	28.7500000
2003-05-16	32.4583333
2003-05-17	11.4500000
2003-05-18	16.6500000
2003-05-19	16.2727273
2003-05-20	16.6521739
2003-05-21	13.7391304
2003-05-22	11.7272727
2003-05-23	30.5416667
2003-05-24	33.9523810
2003-05-25	31.1739130
2003-05-26	12.5454545
2003-05-27	15.6250000
2003-05-28	21.8333333
2003-05-29	15.8333333
2003-05-30	20.1052632
2003-05-31	36.2916667
2003-06-01	59.8695652
2003-06-02	35.6521739
2003-06-03	13.3888889
2003-06-04	19.1304348
2003-06-05	29.0000000
2003-06-06	34.1250000
2003-06-07	21.4090909
2003-06-08	15.4736842
2003-06-09	21.8333333
2003-06-10	13.5294118
2003-06-11	10.7368421
2003-06-12	17.7272727
2003-06-13	17.5833333
2003-06-14	11.2083333
2003-06-15	10.6666667
2003-06-16	20.0416667
2003-06-17	14.9583333
2003-06-18	16.8260870
2003-06-19	20.0416667
2003-06-20	14.4583333
2003-06-21	17.6666667
2003-06-22	15.9565217
2003-06-23	16.7916667
2003-06-24	20.0416667
2003-06-25	16.7500000
2003-06-26	15.4782609
2003-06-27	16.0000000
2003-06-28	16.9565217
2003-06-29	15.5238095
2003-06-30	15.4782609
2003-07-01	17.6086957
2003-07-02	16.4347826
2003-07-03	8.7083333
2003-07-04	16.7727273
2003-07-05	16.5454545
2003-07-06	13.6956522
2003-07-07	14.1250000
2003-07-08	13.5416667
2003-07-09	18.5454545
2003-07-10	25.3809524
2003-07-11	17.2608696
2003-07-12	16.9583333
2003-07-13	16.0000000
2003-07-14	16.2857143
2003-07-15	15.3913043
2003-07-16	17.5833333
2003-07-17	17.3913043
2003-07-18	18.7500000
2003-07-19	18.9047619
2003-07-20	14.8181818
2003-07-21	16.0454545
2003-07-22	15.9090909
2003-07-23	12.5000000
2003-07-24	11.4545455
2003-07-25	17.4545455
2003-07-26	13.7368421
2003-07-27	11.4500000
2003-07-28	9.2500000
2003-07-29	14.4090909
2003-07-30	19.0476190
2003-07-31	18.1428571
2003-08-01	18.7391304
2003-08-02	16.1666667
2003-08-03	18.3333333
2003-08-04	17.5652174
2003-08-05	12.6666667
2003-08-06	14.7826087
2003-08-07	18.0416667
2003-08-08	16.8181818
2003-08-09	18.0909091
2003-08-10	17.8333333
2003-08-11	21.6000000
2003-08-12	19.7916667
2003-08-13	18.7916667
2003-08-14	15.8750000
2003-08-15	13.1250000
2003-08-16	18.8750000
2003-08-17	18.2083333
2003-08-18	17.8181818
2003-08-19	21.3500000
2003-08-20	19.3500000
2003-08-21	21.9130435
2003-08-22	22.9090909
2003-08-23	20.6521739
2003-08-24	16.5714286
2003-08-25	19.5238095
