date	pm10
2010-05-27	85.458
2010-05-28	44.958
2010-05-30	30.042
2010-05-31	81.500
2010-06-01	104.375
2010-06-02	97.958
2010-06-03	103.333
2010-06-04	30.042
2010-06-06	31.833
2010-06-07	41.500
2010-06-08	51.625
2010-06-09	58.500
2010-06-10	54.417
2010-06-13	32.333
2010-06-22	34.708
2010-06-23	33.417
2010-06-24	34.333
2010-06-28	49.833
2010-06-30	33.917
2010-07-01	63.000
2010-07-02	60.917
2010-07-03	44.708
2010-07-05	33.792
2010-07-06	71.792
2010-07-07	70.000
2010-07-08	37.542
2010-07-09	33.667
2010-07-10	44.083
2010-07-13	42.250
2010-07-14	55.217
2010-07-15	38.000
2010-07-16	36.792
2010-07-17	37.708
2010-07-22	34.875
2010-07-23	31.500
2010-07-24	32.000
2010-07-25	54.417
2010-07-26	30.125
2010-07-29	42.333
2010-07-30	38.667
2010-08-06	46.458
2010-08-17	42.583
2010-08-18	90.042
2010-08-19	59.000
2010-08-23	43.042
2010-08-24	78.958
2010-08-26	37.583
2010-08-27	31.125
2010-09-02	53.208
2010-09-03	54.500
2010-09-21	79.500
2010-09-22	30.125
2010-10-09	31.750
2010-11-02	34.167
2010-11-03	41.208
2011-01-13	37.833
2011-03-05	35.042
2011-05-10	37.292
2011-05-11	60.125
2011-05-12	47.750
2011-05-13	33.750
2011-05-15	36.083
2011-05-23	34.458
2011-05-24	35.391
2011-05-25	41.364
2011-05-26	86.958
2011-05-27	70.292
2011-05-28	81.167
2011-05-29	42.917
2011-05-30	61.458
2011-05-31	56.708
2011-06-01	60.917
2011-06-02	46.625
2011-06-03	48.125
2011-06-04	37.167
2011-06-05	31.583
2011-06-07	34.708
2011-06-08	31.000
2011-06-10	39.292
2011-06-11	38.417
2011-06-15	34.500
2011-06-20	37.833
2011-06-21	56.667
2011-06-22	47.750
2011-06-23	44.667
2011-06-24	43.667
2011-06-27	49.375
2011-06-28	56.292
2011-06-29	48.208
2011-06-30	32.958
2011-07-01	50.250
2011-07-03	35.750
2011-07-05	31.542
2011-07-06	38.167
2011-07-08	34.417
2011-07-09	43.875
2011-07-13	36.667
2011-07-14	51.333
2011-07-17	31.292
2011-07-20	35.833
2011-07-21	38.542
2011-08-01	37.000
2011-08-03	32.000
2011-08-04	68.458
2011-08-11	38.500
2011-08-12	71.750
2011-08-13	55.125
2011-08-14	63.083
2011-08-15	44.364
2011-08-17	34.455
2011-08-19	34.208
2011-08-23	33.615
2011-08-25	40.292
2011-08-26	36.375
2011-10-03	33.167
2011-10-04	69.174
2011-10-05	48.083
2011-10-11	37.238
2011-10-12	37.333
2011-10-13	68.208
2011-10-14	65.818
2011-10-17	51.750
2011-10-19	31.083
2011-10-22	33.375
2011-10-23	37.000
2011-11-02	46.667
2011-11-03	89.250
2011-11-04	58.417
2011-11-08	43.792
2011-11-09	37.333
2012-02-10	61.792
2012-03-07	54.167
2012-03-16	34.292
2012-03-17	43.125
2012-03-18	34.542
2012-03-19	40.000
2012-03-20	36.500
2012-03-24	34.417
2012-03-25	70.000
2012-03-26	68.375
2012-03-27	58.000
2012-03-28	81.208
2012-03-29	60.333
2012-05-10	56.308
2012-05-11	72.917
2012-05-12	81.542
2012-05-13	48.917
2012-05-18	38.125
2012-05-20	31.292
2012-05-21	38.000
2012-05-22	44.208
2012-05-23	48.083
2012-05-29	44.792
2012-05-30	82.542
2012-05-31	57.333
2012-06-01	71.917
2012-06-02	82.458
2012-06-03	64.208
2012-06-04	71.625
2012-06-06	31.750
2012-06-07	46.636
2012-06-08	39.875
2012-06-10	36.583
2012-06-11	46.750
2012-06-12	61.125
2012-06-13	44.500
2012-06-14	44.542
2012-06-15	38.565
2012-06-16	57.542
2012-06-17	51.750
2012-06-18	39.917
2012-06-21	56.857
2012-06-22	54.542
2012-06-26	56.083
2012-06-27	67.667
2012-06-28	35.208
2012-06-29	30.792
2012-06-30	30.833
2012-07-01	74.417
2012-07-02	92.208
2012-07-03	60.333
2012-07-04	52.583
2012-07-05	63.042
2012-07-06	51.208
2012-07-09	39.667
2012-07-10	69.417
2012-07-11	45.417
2012-07-14	51.500
2012-07-15	40.750
2012-07-16	48.542
2012-07-19	36.750
2012-07-20	61.067
2012-07-23	43.083
2012-07-24	60.333
2012-07-25	52.708
2012-07-26	50.208
2012-07-27	34.875
2012-07-29	44.208
2012-08-01	34.708
2012-08-02	32.125
2012-08-04	38.750
2012-08-05	37.917
2012-08-06	30.250
2012-08-07	34.208
2012-08-08	43.458
2012-08-09	42.958
2012-08-10	61.042
2012-08-11	60.125
2012-08-16	35.958
2012-08-17	62.833
2012-08-18	71.708
2012-08-19	64.667
2012-08-20	48.292
2012-08-21	56.333
2012-08-22	31.154
2012-08-24	36.750
2012-08-25	52.833
2012-08-26	34.792
2012-08-27	37.625
2012-08-28	58.708
2012-08-29	36.042
2012-09-01	30.375
2012-09-05	44.125
2012-09-06	44.875
2012-09-07	47.500
2012-09-08	42.708
2012-09-20	35.083
2012-09-21	47.417
