"","date","powerdry","powerhumid","powerwind","stdpowerwind","cape","cape_virt","station_name","powerall","normed_dry","normed_humid","normed_wind","normed_cape","normed_cape_virt"
"11823","2008-04-02",514,843,3.89,0.33,539.76,667.23,"pr",1360.89,-0.586322551304644,-0.64319623533314,1.74757281553398,-0.450142482617121,-0.578705117807527
"11824","2008-04-03",531,274,4,0,577.4,665.29,"pr",809,-0.489682223864476,-1.23298022306066,1.85436893203884,-0.407238116949732,-0.539060278272227
"11825","2008-04-04",767,2785,2.23,0.44,10.87,19.51,"pr",3554.23,0.851912910010801,1.36973962436254,0.135922330097087,-1.0530035335689,-1.13576566992827
"11826","2008-04-05",867,3513,2.67,1.41,0,3.59,"pr",4382.67,1.42038542436473,2.12433143994361,0.563106796116505,-1.06539382195372,-1.14721464457622
"11827","2008-04-06",737,2355,3,0.73,47.31,90.91,"pr",3095,0.681371155704622,0.924032920104482,0.883495145631068,-1.01146700102587,-1.09738474663746
"11828","2008-04-07",826,1671,2,0,45.26,64.16,"pr",2499,1.18731169347962,0.215048302168415,-0.0873786407766989,-1.01380371594665,-1.09954393688845
"11829","2008-04-08",908,3270,1.5,0.71,0.98,11.5,"pr",4179.5,1.65345915524984,1.87245532567685,-0.572815533980582,-1.0642767582355,-1.14618244630989
"11830","2008-04-09",636,2190,1.1,0.32,32.11,63.24,"pr",2827.1,0.107213916207151,0.753005928935694,-0.961165048543689,-1.02879288726775,-1.11339435240091
"11831","2008-04-10",728,3480,1,0,1.21,15.96,"pr",4209,0.630208629412768,2.09012604170986,-1.05825242718447,-1.06401459021999,-1.14594019569637
"11832","2008-04-11",862,1628,2.67,0.49,0.97,5.29,"pr",2492.67,1.39196179864704,0.17047763174261,0.563106796116505,-1.06428815684486,-1.14619297894526
"11833","2008-04-12",289,2567,2,0,0.11,19.08,"pr",2858,-1.86538570860099,1.14377669057589,-0.0873786407766989,-1.06526843725066,-1.14709878558714
"11834","2008-04-13",573,1554,2.12,0.64,62.75,127.81,"pr",2129.12,-0.250923767835825,0.0937746175214561,0.0291262135922333,-0.993867548159125,-1.0811223576251
"11835","2008-04-14",566,367,1.75,0.46,344.92,473.78,"pr",934.75,-0.2907168438406,-1.13658319167461,-0.330097087378641,-0.672232987575516,-0.783922985370169
"11836","2008-04-15",667,1265,1.8,0.42,657.82,801.95,"pr",1933.8,0.28344039565687,-0.205781748828724,-0.281553398058252,-0.315570500398951,-0.454356824621088
"11837","2008-04-16",863,2094,2,0.93,243.83,324.74,"pr",2959,1.39764652379057,0.653499315892035,-0.0873786407766989,-0.787461529693377,-0.890397396332536
"11838","2008-04-17",733,1351,1,0,163.28,242.86,"pr",2085,0.658632255130465,-0.116640407977113,-1.05825242718447,-0.879277328165964,-0.975237774243494
"11839","2008-04-18",361,1643,1.71,0.95,448.06,556.11,"pr",2005.71,-1.45608549826616,0.186025540030681,-0.368932038834951,-0.554667730536874,-0.67528938415681
"11840","2008-04-19",619,1927,1.7,0.48,84.84,175.06,"pr",2547.7,0.0105735887669832,0.480399270284838,-0.378640776699029,-0.968688020061552,-1.05785576609123
"11841","2008-04-20",443,1144,0.88,0.64,295.03,429.11,"pr",1587.88,-0.989938036495935,-0.331201542352502,-1.1747572815534,-0.729100649720734,-0.836470303234572
"11842","2008-04-21",478,1094,1.23,0.44,523.67,711.9,"pr",1573.23,-0.790972656472059,-0.383027903312741,-0.834951456310679,-0.468482845092899,-0.595652128118977
"11843","2008-04-22",421,833,0.92,0.29,312.66,474.78,"pr",1254.92,-1.1150019896538,-0.653561507525188,-1.13592233009709,-0.709004901402029,-0.817901267076035
"11844","2008-04-23",391,379,0.62,0.52,642.45,808.27,"pr",770.62,-1.28554374395998,-1.12414486504416,-1.42718446601942,-0.333090163000114,-0.470545485185848
"11845","2008-04-24",589,1230,1.22,0.44,860.8,1104.27,"pr",1820.22,-0.159968165539196,-0.242060201500891,-0.844660194174757,-0.0842015274136555,-0.240565391866699
"11846","2008-04-25",535,1560,2.25,0.89,750.68,916.78,"pr",2097.25,-0.466943323290319,0.0999937808366848,0.155339805825243,-0.209723013792317,-0.356550772568805
"11847","2008-04-26",438,986,0.9,0.32,837.22,991.29,"pr",1424.9,-1.01836166221363,-0.494972842986857,-1.15533980582524,-0.111079448307306,-0.2654013460708
"11848","2008-04-27",421,234,1.43,0.53,419.19,508.09,"pr",656.43,-1.1150019896538,-1.27444131182885,-0.640776699029126,-0.587575515787074,-0.70569710247201
"11849","2008-04-28",603,1470,1.33,0.5,913.78,1083.69,"pr",2074.33,-0.0803820135296458,0.00670633110825493,-0.737864077669903,-0.0238116949732133,-0.184763489672751
"11850","2008-04-29",470,1147,1,0,602.1,830.13,"pr",1618,-0.836450457620374,-0.328091960694888,-1.05825242718447,-0.37908355180668,-0.513044668906607
"11851","2008-04-30",634,1761,1.38,0.5,94.79,230.75,"pr",2396.38,0.0958444659200728,0.308335751896845,-0.689320388349514,-0.957346403738744,-1.04737579389739
