"","date","powerdry","powerhumid","stdpowerwind","powerall","cape","cape_virt","pm10_mean","pm10_std","pm10_nbValues"
"137",1990-01-23,846,2302,1.41,3150,34.35,92.76,"27,33","7,51",3
"138",1990-01-29,590,1854,0.45,2446.75,57.77,140.51,"41","18,68",3
"139",1990-01-31,689,2334,0.87,3025,32.43,51.36,"34",NA,1
"140",1990-02-04,624,1494,0.5,2119.36,69.63,183.45,"25,67","11,24",3
"141",1990-02-08,629,1762,0.63,2393,151.62,268.04,"38",NA,1
"142",1990-02-10,459,1101,0.73,1561.56,161.69,310.52,"21","7,07",2
"143",1990-02-12,580,1510,0,2092,284.98,467.56,"21",NA,1
"144",1990-02-16,425,287,0.74,713.62,236.05,373.83,"41,5","10,08",4
"145",1990-02-22,437,437,0.71,875.75,133.72,202.88,"30,5","19,71",6
"146",1990-02-26,559,805,0.53,1366.44,233.25,354.34,"35",NA,1
"147",1990-02-28,586,1023,0.74,1610.62,0,0,"33,88","16,46",8
"148",1990-03-06,578,878,0.46,1458.25,35.12,46.38,"30,71","11,47",7
"149",1990-03-12,616,1306,0.52,1923.62,1958.87,2179.68,"23,29","8,3",7
"150",1990-03-16,618,1908,0.75,2527.83,469.05,658.8,"33",NA,1
"151",1990-03-18,605,801,0.67,1407.22,364.99,381.55,"22,71","5,02",7
"152",1990-03-20,731,2183,0.47,2915,71.73,146.73,"34",NA,1
"153",1990-03-30,807,1570,1.14,2379.09,27.38,50.8,"32,5","11,71",6
"154",1990-04-01,888,1702,1.21,2591.33,18.81,55.23,"28",NA,1
"155",1990-04-09,659,885,0.71,1546,395.87,606.3,"74",NA,1
"156",1990-04-11,634,1091,0.71,1726.5,100.89,163.44,"24","5,93",6
"157",1990-04-13,747,1722,0.48,2470.7,172.41,360.24,"26",NA,1
"158",1990-04-17,488,648,0.52,1137.55,433.92,646.74,"22,14","3,53",7
"159",1990-04-23,578,637,0,1216,1395.43,1646.42,"22,5","2,59",6
"160",1990-04-25,601,2012,0.74,2615.1,1680.1,1879.13,"28",NA,1
"161",1990-04-29,654,266,0.57,921.1,980.34,1196.15,"31,43","5,32",7
"162",1990-05-05,532,552,0.53,1085.57,515.61,688.67,"20,2","5,31",5
"163",1990-05-07,529,541,0.88,1071.56,1894.31,2123.76,"38",NA,1
"164",1990-05-11,564,1239,0.35,1804.88,1451.33,1711.35,"31,71","6,63",7
"165",1990-05-15,575,177,0.74,753.62,172.63,255.57,"37",NA,1
"166",1990-05-19,715,778,0.52,1496.67,1354.47,1606.56,"36",NA,1
"167",1990-05-23,559,1913,0.64,2474.88,915.62,1213.17,"65,86","4,34",7
"168",1990-05-27,597,677,0.44,1276.78,1677.1,1925.15,"28",NA,1
"169",1990-05-31,766,2272,0,3041,2464.68,2747.87,"147",NA,1
"170",1990-06-02,731,2636,0.33,3369.89,1004.93,1302.83,"103",NA,1
"171",1990-06-04,746,3071,0.51,3818.58,514.12,762.65,"39,67","34,35",6
"172",1990-06-06,645,700,0.69,1347.14,1006.53,1162.08,"31",NA,1
"173",1990-06-08,648,1345,12.09,2003.75,1091.28,1283.82,"40",NA,1
"174",1990-06-12,524,640,0.45,1166.8,2272.13,2437.12,"60",NA,1
"175",1990-06-14,755,1450,0.38,2208.14,1321.85,1505.9,"29",NA,1
