"date","isal","cape"
"2007-11-16",-181.86,1091.97
"2007-11-17",-192.84,1048.84
"2007-11-18",-161.57,1154.22
"2007-11-19",-253.77,256.89
"2007-11-22",-179.71,962.71
"2007-11-23",-166.64,374.67
"2007-11-24",-199.07,0.02
"2007-11-25",-259.43,0
"2007-11-26",-192.5,45.66
"2007-11-27",-168.64,0
"2007-11-28",-182.38,513.31
"2007-11-29",-142.34,634.65
"2007-11-30",-167.4,177.71
"2007-12-01",-28.97,246.54
"2007-12-02",-228.15,244.11
"2007-12-03",-203.1,767.7
"2007-12-04",-216.51,733.9
"2007-12-05",-204.3,975.45
"2007-12-06",-208.83,98.42
"2007-12-07",-191.55,535.4
"2007-12-08",-170.42,1025.07
"2007-12-09",-194.22,1805.89
"2007-12-10",-215.57,1278.46
"2007-12-11",-219.47,904.76
"2007-12-12",-180.02,441.29
"2007-12-13",-187.25,628.66
"2007-12-14",-282.43,502.95
"2007-12-15",-225.79,660.6
"2007-12-16",-189.89,880.45
"2007-12-17",-133.91,1380.06
"2007-12-18",-265.24,158.07
"2007-12-19",-253.22,647.09
"2007-12-20",-187.46,509.56
"2007-12-21",-225.15,0
"2007-12-22",-238.74,0
"2007-12-23",-223.74,175.87
"2007-12-24",-193.71,330.06
"2007-12-25",-176.68,133.84
"2007-12-26",-270.28,347.07
"2007-12-27",-186.85,542
"2007-12-28",-161.03,1603.89
"2007-12-29",-299.2,652.9
"2007-12-30",-293.7,15.32
"2007-12-31",-201.22,685.68
