date,aot1020
2007-07-11,0.1955819655
2007-07-12,0.4272042143
2007-07-13,0.5124759231
2007-07-14,0.0590283125
2007-07-16,0.3308360000
2007-07-17,0.5090130000
2007-07-18,0.4590245000
2007-07-19,0.1380850000
2007-07-20,0.4497103333
2007-07-21,0.3772490000
2008-01-03,0.0362920000
2008-01-07,0.0528220000
2008-01-09,0.0983410000
2008-01-13,0.1328300000
2008-01-14,0.1290215385
2008-01-15,0.0948450000
2008-01-19,0.0654884545
2008-01-20,0.0454670000
2008-01-22,0.2216396000
2008-01-23,0.1244563333
2008-02-07,0.0591533333
2008-02-08,0.0754752222
2008-02-10,0.0842173929
2008-02-11,0.0757954474
2008-02-12,0.0987840000
2008-02-14,0.2135587143
2008-02-15,0.0799370690
2008-02-16,0.0425883077
2008-02-17,0.0662707778
2008-02-18,0.0684048571
2008-02-19,0.0853748077
2008-02-20,0.0786836471
2008-02-21,0.1154812857
2008-02-22,0.0493540000
2008-02-23,0.0565256364
2008-02-24,0.0441397353
2008-02-25,0.0576761333
2008-02-26,0.0228381111
2008-02-27,0.0223410000
2008-02-28,0.0535006000
2008-02-29,0.0794825000
2008-03-01,0.0742556000
2008-03-02,0.0264895000
2008-03-04,0.0483213158
2008-03-05,0.0625914000
2008-03-06,0.0807533333
2008-03-07,0.0649158095
2008-03-08,0.0712558919
2008-03-09,0.0602971071
2008-03-10,0.0591161364
2008-03-11,0.0586158235
2008-03-12,0.0395974091
2008-03-13,0.0522509189
2008-03-14,0.0634248750
2008-03-15,0.0609520714
2008-03-16,0.0368824706
2008-03-17,0.0227559310
2008-03-18,0.0235646667
2008-03-19,0.1365550000
2008-03-21,0.1073325000
2008-03-22,0.0979752571
2008-03-23,0.0648353889
2008-03-24,0.1021405000
2008-03-30,0.0854002500
2008-03-31,0.1209105000
2008-04-01,0.0781868000
2008-04-02,0.0697520000
2008-04-04,0.1160510000
2008-04-05,0.1056852857
2008-04-06,0.0990437273
2008-04-07,0.0498324912
2008-04-08,0.0705862800
2008-04-09,0.0583804375
2008-04-10,0.0294366818
2008-04-14,0.2439260000
2008-04-15,0.1112161500
2008-04-16,0.0843630000
2008-04-17,0.0959490000
2008-04-18,0.0643737931
2008-04-19,0.0652961667
2008-04-20,0.0638974000
2008-04-21,0.1921914242
2008-04-22,0.1781337708
2008-04-23,0.1540844000
2008-04-24,0.1486019231
2008-04-25,0.1829240000
2008-04-27,0.3064452727
2008-04-28,0.1270851538
2008-04-29,0.1338123429
2008-04-30,0.1151542609
2008-05-01,0.0593192857
2008-05-02,0.0647180000
2008-05-03,0.0911704545
2008-05-05,0.0716398333
2008-05-06,0.2012107000
2008-05-07,0.3465471250
2008-05-08,0.5127462500
2008-05-09,0.4333815000
2008-05-10,0.6375570000
2008-05-11,0.1951367500
2008-05-12,0.0826716667
2008-05-13,0.0886390000
2008-05-14,0.1130674146
2008-05-15,0.0953337838
2008-05-16,0.0645525614
2008-05-17,0.0717078302
2008-05-18,0.1081313846
2008-05-19,0.1100365385
2008-05-20,0.0580063846
