nbdates	date	aot_440_daily	angstrom440_870	angstrom440_675
22	2009-11-16	0.1090015455	0.2523776364	0.4796735909
13	2009-11-18	0.1404362308	0.1129867692	0.3228476154
18	2009-11-22	0.1052038889	0.0838797778	0.2771001111
13	2009-11-23	0.0829279231	0.1624506923	0.3507528462
22	2009-11-24	0.2043807273	0.1916639545	0.2916578636
25	2009-11-25	0.2054499200	0.1545951200	0.2467816000
28	2009-11-26	0.1711313571	0.1011588929	0.2031802857
30	2009-11-27	0.1392035667	0.1085584333	0.2300736333
31	2009-11-28	0.0573536129	0.1825600323	0.5139688065
15	2009-11-29	0.1017704000	0.1020614000	0.3124138667
21	2009-11-30	0.1159048095	0.2009925714	0.3670406190
32	2009-12-01	0.1210472813	0.2034602500	0.3722597188
26	2009-12-02	0.0976101154	0.2029821538	0.4115542308
22	2009-12-03	0.1327163636	0.1433383182	0.3003646818
26	2009-12-04	0.1157144231	0.1483458846	0.3136713077
12	2009-12-05	0.1081120000	0.1663692500	0.3164170833
16	2009-12-06	0.1157313125	0.1559331875	0.3355360625
39	2009-12-09	0.0781542564	0.1439711282	0.3729452821
16	2009-12-14	0.0470922500	0.1621171875	0.5628855000
54	2009-12-16	0.0423769444	0.3587615370	0.7995055370
31	2009-12-17	0.0421710323	0.4463660000	0.9455092581
27	2009-12-18	0.0612040741	0.3539103704	0.6963533704
43	2009-12-19	0.0489962791	0.3182893256	0.7278466512
23	2009-12-20	0.0652271304	0.1764468261	0.4451955652
28	2009-12-21	0.0797890357	0.1352484286	0.3922475357
12	2009-12-22	0.1021502500	0.4297826667	0.6295900000
26	2009-12-26	0.1535459615	0.6757194231	0.8443606538
33	2009-12-27	0.1568223030	0.6461050303	0.7990155152
18	2010-01-02	0.0631602778	0.2200725000	0.4973931667
38	2010-01-03	0.0652136842	0.3054776316	0.5871855000
28	2010-01-04	0.1651014286	0.4891305357	0.6419643571
23	2010-01-07	0.1054146957	0.1569363913	0.3469210000
33	2010-01-09	0.0481161212	0.2182996667	0.5147141212
22	2010-01-10	0.0738101364	0.1636655909	0.4008115455
18	2010-01-11	0.0444795556	0.2649049444	0.6177450000
23	2010-01-12	0.1244003913	0.0603745652	0.2125661304
13	2010-01-13	0.1105069231	0.1811980769	0.3700571538
43	2010-01-15	0.1140777907	0.4628779302	0.6524346512
25	2010-01-16	0.1708234800	0.5713966800	0.6961454000
14	2010-01-17	0.1275642857	0.4278946429	0.6164514286
17	2010-01-19	0.1200299412	0.3789915294	0.5822828235
25	2010-01-20	0.2380869200	0.6598646800	0.7766559600
17	2010-01-21	0.1786589412	0.6973713529	0.8239625294
44	2010-01-22	0.1281009545	0.3893194091	0.5517845682
27	2010-01-23	0.1425052963	0.2750785185	0.4340095185
43	2010-01-24	0.1154542558	0.2328210465	0.3746770233
37	2010-01-25	0.0845006486	0.2841570811	0.4823950811
12	2010-01-26	0.0878346667	0.2910767500	0.5270282500
18	2010-01-30	0.0618017222	0.2637904444	0.5770691111
21	2010-01-31	0.0949193333	0.1839441905	0.4097613810
15	2010-02-01	0.0934950667	0.1856162667	0.4050042667
16	2010-02-02	0.1582598125	0.1038663750	0.2224375000
28	2010-02-03	0.1054397857	0.1241403214	0.2676171786
23	2010-02-04	0.1355880870	0.2419719565	0.4007995652
16	2010-02-05	0.1166978750	0.1970779375	0.3823698750
22	2010-02-06	0.1129765000	0.0436001364	0.2192621818
29	2010-02-07	0.0982117931	0.4967691379	0.7147901379
18	2010-02-09	0.2775924444	0.5025798333	0.5954465000
20	2010-02-10	0.2376645500	0.5141268000	0.6355298500
34	2010-02-11	0.1844988235	0.6494166471	0.7866685000
54	2010-02-12	0.1286276111	0.5946425741	0.7576821852
12	2010-02-13	0.1160321667	0.5616254167	0.7053471667
13	2010-02-15	0.1058006923	0.4721784615	0.7289612308
12	2010-02-16	0.1033525000	0.3880832500	0.6276207500
40	2010-02-17	0.0935790750	0.3672712250	0.6128791750
15	2010-02-18	0.1176335333	0.3619496000	0.5807842667
22	2010-02-19	0.1176336364	0.6196765000	0.9033886818
24	2010-02-20	0.0977070000	0.2470861667	0.4835578333
53	2010-02-21	0.0851369623	0.3487625283	0.6150512642
13	2010-02-22	0.0955227692	0.4818228462	0.7388565385
36	2010-02-23	0.0884948611	0.3423875833	0.5856148889
24	2010-02-24	0.1401114583	0.4203092917	0.6407575000
37	2010-02-25	0.1781374595	0.5499646486	0.7143754865
22	2010-02-26	0.2233239091	0.6660810455	0.8465022727
27	2010-03-01	0.2530802963	0.4282472963	0.5068475926
17	2010-03-02	0.2687447647	0.3418358235	0.4363452941
34	2010-03-03	0.2171725588	0.2586544118	0.3588894118
20	2010-03-04	0.1569697500	0.2433167500	0.3910447500
18	2010-03-05	0.1386405556	0.3138314444	0.4558190556
19	2010-03-07	0.1365585263	0.3155334737	0.4758490526
17	2010-03-08	0.1093584118	0.2124457059	0.3897978824
27	2010-03-09	0.2010321481	0.2346196296	0.3314305185
23	2010-03-10	0.3177353478	0.1449742174	0.1969337826
41	2010-03-11	0.2174937317	0.2107502683	0.2916913902
29	2010-03-12	0.2332574483	0.3904318276	0.4961225862
30	2010-03-13	0.1343703333	0.5597740333	0.7607658667
38	2010-03-14	0.1586290526	0.2623623421	0.3945466579
26	2010-03-16	0.1959003077	0.1411068846	0.2353092692
21	2010-03-17	0.3490082857	0.1580878095	0.2072903333
20	2010-03-18	0.2270695000	0.1866321500	0.2569875500
32	2010-03-19	0.1592370625	0.1815425625	0.3049216250
25	2010-03-20	0.1349697200	0.1457316400	0.2798658400
42	2010-03-21	0.1380700952	0.1816509286	0.3202536667
28	2010-03-24	0.1245971786	0.2434789643	0.3932207500
29	2010-03-25	0.3421482069	0.2464877241	0.2731908621
24	2010-03-26	0.2645535417	0.2677508333	0.3076575833
46	2010-03-27	0.0616159130	0.4566205435	0.7792370000
26	2010-03-28	0.0747205385	0.2849032308	0.5792275385
24	2010-03-29	0.0973167917	0.2335939167	0.4207867500
26	2010-03-30	0.2728019615	0.0880525769	0.1231554615
24	2010-03-31	0.3030760833	0.1003105833	0.1257835833
53	2010-04-01	0.5932783208	0.1072917925	0.1033154340
21	2010-04-12	0.1677295238	0.1735400952	0.2751230000
12	2010-05-13	0.1025468333	0.3069436667	0.5565617500
24	2010-05-19	0.1222800417	0.3448708333	0.5178337083
19	2010-05-21	0.1643594211	0.1516507895	0.2533374737
20	2010-05-22	0.2768394000	0.1726472000	0.2349313500
14	2010-06-01	0.8827172143	0.1139906429	0.0907057857
37	2010-06-02	0.5909631892	0.1680267568	0.1527768649
30	2010-06-03	0.5190561000	0.1323834333	0.1285770667
32	2010-06-04	0.1624085000	0.1432482188	0.2435784688
36	2010-06-05	0.2328648333	0.1883560278	0.2248025833
13	2010-06-07	0.1100313846	0.2097330000	0.3447270769
22	2010-06-10	0.3217410909	0.1270155909	0.1531215455
20	2010-06-11	0.1502709000	0.2053761500	0.3011326500
34	2010-06-12	0.1735084118	0.1850611176	0.2502026176
24	2010-06-13	0.1001960000	0.4138694583	0.6222712917
12	2010-06-15	0.0983802500	0.2989817500	0.4616159167
29	2010-08-05	0.2632044828	0.1337448966	0.1204905862
28	2010-08-06	0.3619666071	0.0991542500	0.0940083929
52	2010-08-10	0.0322757115	0.6838548846	0.8125460192
41	2010-08-11	0.1723594634	0.1439120000	0.1451926341
43	2010-08-12	0.1088920233	0.1625127442	0.1830388372
